gene_symbol,Atrn
mouse_life_stage,Early adult
pvalue,0.8492341
mouse_strain,C57BL
gene_accession_id,MGI:1341628
parameter_name,% Pre-pulse inhibition - PPI4
parameter_id,IMPC_ACS_036_001
analysis_id,v71686n6av77v3f
