analysis_id,w23p598z1r99r9k
mouse_strain,C57BL
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
pvalue,0.5967623
parameter_id,IMPC_ECG_003_001
parameter_name,CV
mouse_life_stage,Early adult
