parameter_name,Percentage center time
analysis_id,cdpq2s2c235dcc4
pvalue,0.3886351
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
gene_symbol,Nanp
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
