parameter_name,Eosinophils
gene_symbol,Tox
mouse_strain,C57BL
gene_accession_id,MGI:2181659
analysis_id,7082214v28i3380
mouse_life_stage,Early adult
pvalue,0.1212548
parameter_id,IMPC_IMM_052_001
