parameter_id,JAX_OFD_007_001
parameter_name,Whole arena resting time
gene_accession_id,MGI:2444554
pvalue,0.687581
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Mapkap1
analysis_id,4y5051qa83g1523
