gene_symbol,Eprs1
analysis_id,v4b86m47q51x38e
mouse_strain,C57BL
gene_accession_id,MGI:97838
pvalue,0.5154946
parameter_id,IMPC_EYE_008_001
parameter_name,Corneal opacity
mouse_life_stage,E12.5
