parameter_name,Center average speed
analysis_id,55di8s393lb0dg1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_id,JAXLA_OFD_017_001
gene_symbol,Frmpd1
pvalue,0.8168097
mouse_life_stage,Late adult
