analysis_id,44h67c4mdmh7611
parameter_id,IMPC_CSD_036_001
gene_symbol,Psmd14
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
parameter_name,Startle response
pvalue,0.08272967
