parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
mouse_strain,129SV
gene_symbol,Inpp1
gene_accession_id,MGI:104848
pvalue,0.6152844
mouse_life_stage,Early adult
analysis_id,55r0c2l6c3x41f6
