parameter_name,Periphery permanence time
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
pvalue,0.1869175
mouse_strain,C57BL
analysis_id,9ty0b4c117v490o
gene_symbol,Zyg11b
parameter_id,JAX_OFD_012_001
