analysis_id,68820o22sqk20c9
pvalue,0.8004804
gene_accession_id,MGI:2685266
mouse_strain,C57BL
parameter_id,JAXLA_CSD_077_001
mouse_life_stage,Early adult
parameter_name,Contact righting
gene_symbol,Pglyrp3
