analysis_id,6ce398st929s79v
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
mouse_strain,C57BL
gene_symbol,Sgip1
parameter_id,IMPC_CSD_016_001
pvalue,0.9299449
parameter_name,Coat - hair texture / appearance - abdomen
