analysis_id,3ugk1y5v8q3zb05
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_id,IMPC_IMM_065_001
parameter_name,B2B Cells
mouse_life_stage,Early adult
gene_symbol,Lpgat1
pvalue,0.2142929
