parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
gene_symbol,Ap5s1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
pvalue,0.8166165
analysis_id,86w7a219ue66563
