analysis_id,v8jf15lw1n5h137
gene_accession_id,MGI:1345282
mouse_strain,C57BL
gene_symbol,Slc30a4
parameter_name,Tremor
pvalue,0.4527302
parameter_id,IMPC_CSD_030_001
mouse_life_stage,Late adult
