analysis_id,t329xfzvvr6g44v
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
mouse_strain,C57BL
parameter_id,MGP_IMM_011_001
gene_symbol,Zcchc2
parameter_name,Resting Treg cells - % of Treg
pvalue,0.2623101
