gene_symbol,Hspa5
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
pvalue,0.9235448
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
analysis_id,4z3ma21462371st
mouse_strain,C57BL
