analysis_id,76r0jx1j3u8z1lm
gene_accession_id,MGI:1924315
pvalue,0.7425641
parameter_name,Number of centre entries
gene_symbol,Ints7
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
