gene_symbol,Etfdh
gene_accession_id,MGI:106100
parameter_name,Placenta Morphology
pvalue,0.5045784
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
mouse_strain,C57BL
analysis_id,rvb7739p837vvv8
