analysis_id,ks76b6d5nlyp8b1
gene_accession_id,MGI:1920344
parameter_id,MGP_IMM_004_001
pvalue,0.1978197
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of ab T cells
gene_symbol,Sgip1
mouse_strain,C57BL
