parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
gene_symbol,Dnajc8
gene_accession_id,MGI:1915848
pvalue,0.2707517
mouse_strain,C57BL
analysis_id,4b1e2xm28k5j617
parameter_name,Retina (combined)
