parameter_name,Periphery distance travelled
parameter_id,ESLIM_007_001_006
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
analysis_id,5eq54ed49918q96
mouse_strain,C57BL
gene_symbol,Arpc5l
pvalue,0.4251182
