analysis_id,04i511ayx4qe167
parameter_id,MGP_IMM_089_001
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,0.346255
gene_symbol,Zyg11b
