analysis_id,hp399a6dpi20h05
mouse_strain,C57BL
gene_symbol,Bach2
gene_accession_id,MGI:894679
parameter_id,IMPC_GRS_009_001
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_life_stage,Early adult
pvalue,0.6797122
