analysis_id,5ytgv487795u863
gene_accession_id,MGI:1921802
mouse_strain,129SV
pvalue,0.716994
parameter_id,HMGULA_CBC_018_001
gene_symbol,Nipal3
parameter_name,Glucose
mouse_life_stage,Early adult
