parameter_id,JAX_URI_002_001
pvalue,0.5509516
analysis_id,87vp9all173o139
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
parameter_name,Creatinine
mouse_strain,129SV
