gene_symbol,Ncaph
parameter_name,eye size
mouse_strain,C57BL
pvalue,0.4371549
mouse_life_stage,Early adult
analysis_id,c4r2ypet734xkrl
parameter_id,ESLIM_001_001_117
gene_accession_id,MGI:2444777
