gene_symbol,Hrnr
mouse_life_stage,Early adult
pvalue,0.469314
mouse_strain,C57BL
parameter_id,M-G-P_016_001_001
gene_accession_id,MGI:3046938
parameter_name,White blood cell-count
analysis_id,f7m2l3z16wy916s
