parameter_name,Pericardium Morphology
gene_accession_id,MGI:3033992
analysis_id,yv6vr08ff4q79qu
gene_symbol,Cldn19
pvalue,0.3452082
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_006_001
mouse_strain,C57BL
