gene_symbol,Nanp
analysis_id,s48aw97g36t41m2
parameter_name,Total T cells - % of CD45+
pvalue,0.7682371
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
parameter_id,MGP_IMM_001_001
mouse_strain,C57BL
