parameter_name,Joints
gene_accession_id,MGI:1914561
mouse_strain,C57BL
gene_symbol,Nanp
mouse_life_stage,E18.5
pvalue,0.7424062
analysis_id,507atu5u8t93e97
parameter_id,IMPC_XRY_027_001
