gene_symbol,Steap3
parameter_name,Total bilirubin
mouse_life_stage,Early adult
pvalue,0.08998694
analysis_id,uko63nt057odm37
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
