analysis_id,8qhe6qkfx68aq5r
mouse_strain,C57BL
gene_symbol,Lamb3
parameter_name,Periphery resting time
pvalue,0.2017806
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_011_001
