analysis_id,5r2hl853a814685
gene_accession_id,MGI:1346088
mouse_strain,C57BL
gene_symbol,Cd52
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_002
pvalue,9.214597e-05
