parameter_name,Mean-cell-volume
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
pvalue,0.2085101
parameter_id,M-G-P_016_001_005
gene_symbol,Rap2b
mouse_strain,C57BL
analysis_id,vi6d8wa651r9138
