gene_symbol,Mapkap1
analysis_id,4zqa4o08smj0511
pvalue,0.7015289
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:2444554
parameter_name,Hindlimbs - shape
