parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
pvalue,0.5615587
analysis_id,q89gf1622z77142
parameter_id,IMPC_IMM_025_001
mouse_life_stage,Late adult
gene_symbol,Hpca
gene_accession_id,MGI:1336200
