parameter_name,DN NKT cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_013_001
mouse_life_stage,Early adult
pvalue,1.488516
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
analysis_id,14am2x18yz05g48
