parameter_name,Glucose
gene_accession_id,MGI:1915087
analysis_id,5o3d83j609vw130
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.3756033
