analysis_id,kit4b4iv9h5h576
parameter_name,Tremor
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
pvalue,0.6797116
gene_symbol,Zmynd8
