parameter_name,Shape of ribcage
mouse_strain,C57BL
gene_symbol,Bcs1l
pvalue,0.4888554
mouse_life_stage,E9.5
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:1914071
analysis_id,626ue56r17nr05f
