analysis_id,uh9fc960lx62a15
gene_symbol,Ubxn11
mouse_strain,C57BL
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
pvalue,0.4296205
