parameter_name,Liver weight
gene_accession_id,MGI:95835
analysis_id,5hnbvo3r56g4qix
gene_symbol,Hspa5
parameter_id,UCD_OWT_008_001
pvalue,0.2147415
mouse_life_stage,E12.5
mouse_strain,C57BL
