gene_symbol,Cds2
parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
pvalue,0.06452452
gene_accession_id,MGI:1332236
mouse_strain,C57BL
analysis_id,0n074a5440r0ti4
parameter_id,IMPC_IMM_034_001
