gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
analysis_id,t4crv208v2p0uh6
parameter_name,eye size
parameter_id,ESLIM_001_001_117
pvalue,0.3885587
