gene_symbol,Secisbp2l
analysis_id,20mwk470us9rbk2
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
parameter_id,IMPC_CBC_053_001
parameter_name,Thyroxine
mouse_strain,C57BL
pvalue,0.9137979
