analysis_id,8rrmlxhl35il0rk
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
pvalue,0.5831637
gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell number
parameter_id,MGP_PBI_031_001
