gene_symbol,Tiprl
pvalue,0.6463253
mouse_strain,C57BL
gene_accession_id,MGI:1915087
parameter_id,IMPC_FEA_106_001
mouse_life_stage,E12.5
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
analysis_id,6m3p0d9figbx9d5
