parameter_name,Percent time in light
parameter_id,IMPC_LDT_008_001
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.6374394
analysis_id,eqj97r4fzoy4n3w
