analysis_id,0606o9puph5tl06
parameter_name,Fractional Shortening
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
parameter_id,IMPC_ECH_005_001
pvalue,0.388683
mouse_strain,C57BL
gene_symbol,Snap23
