analysis_id,9hz96kolya82goa
mouse_strain,C57BL
pvalue,0.9354408
gene_symbol,Cmpk1
parameter_id,IMPC_CSD_016_001
gene_accession_id,MGI:1913838
parameter_name,Coat - hair texture / appearance - abdomen
mouse_life_stage,Early adult
