analysis_id,vih5l4l7n7pra79
gene_symbol,Bcs1l
parameter_name,Body Weight
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.4450574
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
