analysis_id,s88r64836324372
pvalue,0.5408684
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
gene_symbol,Steap3
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_name,Mean cell volume
