analysis_id,9lcz7gb830b97wo
parameter_id,IMPC_ACS_035_001
pvalue,0.9720131
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
parameter_name,% Pre-pulse inhibition - PPI3
gene_symbol,Trp53i11
mouse_strain,C57BL
