analysis_id,57692avhb1t6k92
mouse_strain,C57BL
parameter_id,IMPC_CSD_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
parameter_name,Coat - hair texture / appearance - abdomen
pvalue,0.2891263
