analysis_id,go22jczs0o3omr1
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_symbol,Pum1
mouse_strain,C57BL
gene_accession_id,MGI:1931749
pvalue,0.4274485
parameter_id,MGP_IMM_022_001
mouse_life_stage,Early adult
