parameter_name,Respiration Rate
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.5195048
analysis_id,ivns2xz3i5udhq3
parameter_id,IMPC_ECH_018_001
