gene_symbol,Cpa3
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
analysis_id,2385hfi5w2inm83
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.5939026
gene_accession_id,MGI:88479
mouse_strain,C57BL
