parameter_name,B1B Cells
analysis_id,5ch9r41mg1p45y4
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
pvalue,0.8828631
mouse_strain,129SV
