analysis_id,0zc8go182wkmz79
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
pvalue,0.790586
gene_symbol,Dmap1
