analysis_id,3b0102780z24554
gene_symbol,Kifap3
parameter_name,Creatinine
gene_accession_id,MGI:107566
parameter_id,JAX_URI_002_001
pvalue,0.2588561
mouse_life_stage,Early adult
mouse_strain,C57BL
