parameter_name,Eyelid morphology
parameter_id,IMPC_EYE_004_001
mouse_strain,C57BL
gene_symbol,Slc28a2
analysis_id,ote1p681z5r403f
mouse_life_stage,Early adult
pvalue,0.5600148
gene_accession_id,MGI:1913105
