gene_symbol,Ap5s1
parameter_name,Platelet count
gene_accession_id,MGI:1916846
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
analysis_id,3d4fs317040lps8
mouse_life_stage,Early adult
pvalue,0.9717768
