analysis_id,jgv3179m5n37995
parameter_id,IMPC_CBC_006_001
mouse_strain,C57BL
pvalue,0.8213623
parameter_name,Total protein
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
